Unguetolum |  Unguetol(um, i n
unguicularis |  unguicularis, e анат.
unguiculatus |  unguiculatus, a, um анат.
unguiculus |  unguiculus, i m
unguis |  unguis, is m
ungula |  ungula, ae f
unguo |  unguo, unxi, unctum, ere
unice |  unice adv.
unicellularis |  unicellularis, e анат.
unicolor |  unicolor, oris
unicus |  unicus, a, um
uniflorus |  uniflorus, a, um биолог.
unilateralis |  unilateralis, e анат.
unilocularis |  unilocularis, e анат.
unimanus |  unimanus, a, um
unipennatus |  unipennatus, a, um анат.
unipolaris |  unipolaris, e анат.
unisexualis |  unisexualis, e биолог.
Unithiolum |  Unithiol(um, i n
uniusmodi |  uniusmodi (также раздельно unius modi) adv.
universe |  universe adv.
universi |  universi, orum m
universitas |  universitas, atis f
universum |  universum, i n
universus |  universus, a, um pl.
unquam |  unquam
unus |  unus ( арх.
upilio |  upilio, onis m
urachus |  urachus, i m
Uradalum |  Uradal(um, i n
uraemia |  uraemia, ae f
uraemicus |  uraemicus, a, um мед.
Uramidum |  Uramid(um, i n
Urania |  Urania, ae f
urbane |  urbane adv.
urbani |  urbani, orum m
urbanitas |  urbanitas, atis f
urbanus |  urbanus, a, um
urbs |  urbs, urbis f
urceus |  urceus, i m
urea |  urea, ae f
Ureaphilum |  Ureaphil(um, i n
Uregitum |  Uregit(um, i n
ureter |  ureter, eris m
uretericus |  uretericus, a, um анат.
ureterographia |  ureterographia, ae f
Urethanum |  Urethan(um, i n
urethra |  urethra, ae f
urethralis |  urethralis, e анат.
urethrographia |  urethrographia, ae f
Urevertum |  Urevert(um, i n
urgeo |  urgeo (urgneo), ursi, --, ere поэт.
Uricidum |  Uricid(um, i n
urina |  urina, ae f
urinator |  urinator, oris m
Uriodonum |  Uriodon(um, i n
Urisolum |  Urisol(um, i n
urna |  urna, ae f
uro |  uro, ussi, ustum, ere pass.
Urobesalolum |  Urobesalol(um, i n
Urocarminum |  Urocarmin(um, i n
urocarpus |  urocarpus, a, um биолог.
Urodanum |  Urodan(um, i n
Urodiazinum |  Urodiazin(um, i n
Urofortum |  Urofort(um, i n
urogenitalis |  urogenitalis, e мед.
Urografinum |  Urografin(um, i n
Urografum |  Urograf(um, i n
urographia |  urographia, ae f
Urokonum |  Urokon(um, i n
urolithus |  urolithus, i m
Urombralum |  Urombral(um, i n
Uronalum |  Uronal(um, i n
uropoesis |  uropoesis, is f
uropoeticus |  uropoeticus, a, um анат.
Uropolynum |  Uropolyn(um, i n
urorectalis |  urorectalis, e анат.
Urosalum |  Urosal(um, i n
Urosolum |  Urosol(um, i n
Urospectum |  Urospect(um, i n
Urosulfanum |  Urosulfan(um, i n
Urotrastum |  Urotrast(um, i n
Urotropinum |  Urotropin(um, i n
Urovisonum |  Urovison(um, i n
Urozinum |  Urozin(um, i n
ursa |  ursa, ae f
Ursalinum |  Ursalin(um, i n
Ursaдlum |  Ursaдl(um, i n
ursus |  ursus, i m
Urtica |  Urtica, ae f
urtica |  urtica, ae f
Urtosalum |  Urtosal(um, i n
urus |  urus, i m
Urutinum |  Urutin(um, i n
Usipetes |  Usipetes, um m
usitatus |  usitatus, a, um
uspiam |  uspiam adv.
usquam |  usquam adv.
usque |  usque adv.
ustor |  ustor, oris m
usucapio |  I usucapio (usus capio), onis f
usura |  usura, ae f
usurpatio |  usurpatio, onis f
usurpo |  usurpo, avi, atum, are
usus |  usus, us m
ususfructus |  ususfructus, us m
ut |  I ut ( арх.
utcumque |  utcumque (utcunque) adv.
utensilia |  utensilia, ium n
uter |  I uter, utra, utrum gen.
utercumque |  utercumque (utercunque), utracumquo, utrumcumque
uterinus |  uterinus, a, um анат.
uterlibet |  uterlibet, utralibet, utrumlibet
Uterolum |  Uterol(um, i n
uteroovaricus |  uteroovaricus, a, um анат.
Uterotonylum |  Uterotonyl(um, i n
uterovaginalis |  uterovaginalis, e анат.
uterque |  uterque, utraque, utrumque gen.
uterus |  uterus, i m
utervis |  utervis, utravis, utrumvis gen.
uti |  uti
Utica |  Utica, ae f
Uticenses |  Uticenses, ium m
utilis |  utilis, e
utilitas |  utilitas, atis f
utiliter |  utiliter adv.
utinam |  utinam adv.
utique |  I utique adv.
utor |  utor, usus sum, uti
utpote |  utpote adv.
utrarius |  utrarius, i m
utricularis |  utricularis, e анат.
utriculoampullaris |  utriculoampullaris, e анат.
utriculus |  utriculus, i m
utrimque |  utrimque (utrinque) adv.
utro |  utro adv.
utrobique |  utrobique
utroque |  utroque adv.
utrubique |  utrubique (utrobique) adv.
utrum |  utrum adv.
utut |  utut adv.
Uva |  Uva ursi бот.
uva |  uva, ae f
uvea |  uvea, ae f
uvesco |  uvesco, --, --, ere
uvidus |  uvidus, a, um поэт.
Uvilonum |  Uvilon(um, i n
uvula |  uvula, ae f
uxor |  uxor, oris f
uxorius |  uxorius, a, um поэт.
