Theophorinum |  Theophorin(um, i n
Theophyllaminum |  Theophyllamin(um, i n
Theophyllinum |  Theophyllin(um, i n
Theosanum |  Theosan(um, i n
Theoverinum |  Theoverin(um, i n
Thepalusalum |  Thepalusal(um, i n
Thepaphyllinum |  Thepaphyllin(um, i n
Thephorinum |  Thephorin(um, i n
Thermae |  Thermae, arum f
thermae |  thermae, arum f
thermophorum |  thermophorum, i n
Thermopium |  Thermopium, i n
Thermopsis |  Thermopsis, idis f
Thermopylae |  Thermopylae, arum f
thermotaxis |  thermotaxis, is f
therotrophium |  therotrophium, i n
Thersites |  Thersites, ae m
Thesalbenum |  Thesalben(um, i n
Thesaminalum |  Thesaminal(um, i n
Thesanum |  Thesan(um, i n
thesaurus |  thesaurus (thensaurus), i m
Theseus |  Theseus (=These^us), ei (eos) m
Thespis |  Thespis, idis m
Thessalia |  Thessalia, ae f
Thessalicus |  Thessalicus (Thessalius), а, um
Thessalonica |  Thessalonica, ae f
Thetis |  Thetis, idis f
Thiamazolum |  Thiamazol(um, i n
Thiaminum |  Thiaminum, i n
Thianidum |  Thianid(um, i n
Thiantanum |  Thiantan(um, i n
thiasus |  thiasus, i m
Thiazamidum |  Thiazamid(um, i n
Thibutolum |  Thibutol(um, i n
Thimecilum |  Thimecil(um, i n
Thioacetazonum |  Thioacetazon(um, i n
Thiobutalum |  Thiobutal(um, i n
Thioctacidum |  Thioctacid(um, i n
Thioctanum |  Thioctan(um, i n
Thiodipinum |  Thiodipin(um, i n
Thiomecilum |  Thiomecil(um, i n
Thiomedonum |  Thiomedon(um, i n
Thiomicidum |  Thiomicid(um, i n
Thiomidilum |  Thiomidil(um, i n
Thionembutalum |  Thionembutal(um, i n
Thionidum |  Thionid(um, i n
Thiopentalum |  Thiopentalum-natrium, Thiopentali-natrii n
Thiopentenum |  Thiopenten(um, i n
Thiopentobarbitalum |  Thiopentobarbital(um, i n
Thioperazinum |  Thioperazin(um, i n
Thiophanium |  Thiophanium, i n
Thioridazinum |  Thioridazin(um, i n
Thiorylum |  Thioryl(um, i n
Thiosarminum |  Thiosarmin(um, i n
Thiospasminum |  Thiospasmin(um, i n
Thiosulfas |  Thiosulfas, atis m
Thiotepum |  Thiotep(um, i n
Thiothyronum |  Thiothyron(um, i n
Thisbe |  Thisbe, es f
tholus |  tholus, i m
thoracalis |  thoracalis, e анат.
thoracicoacromialis |  thoracicoacromialis, e анат.
thoracicus |  thoracicus, a, um анат.
thoracodorsalis |  thoracodorsalis, e анат.
thoracoepigastricus |  thoracoepigastricus, a, um анат.
thoracolumbalis |  thoracolumbalis, e анат.
thoras |  thoras, acis m
Thorazinum |  Thorazin(um, i n
Thraca |  Thraca, ae f
Thrace |  Thraca, ae f
Thraces |  Thraces, um m
Thracia |  Thracia, ae f
Thracius |  Thracius, a, um
Thrax |  I Thrax, acis m
Thromasalum |  Thromasal(um, i n
Thrombantinum |  Thrombantin(um, i n
Thrombinum |  Thrombin(um, i n
thrombocytopenia |  thrombocytopenia, ae f
thrombocytosis |  thrombocytosis, is f
thrombocytus |  thrombocytus, i m
Thromboliquinum |  Thromboliquin(um, i n
Thrombolysinum |  Thrombolysin(um, i n
